date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:50	113220/113220	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:48%20GMT	https://theordinary.com/product/rdn-advanced-retinoid-2pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-advanced-retinoid-2pct-30mld2f3.html	(from https://theordinary.com/)
01:14:51	112246/112246	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:50%20GMT	https://theordinary.com/product/rdn-retinol-02pct-in-squalane-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-retinol-02pct-in-squalane-30mld2f3.html	(from https://theordinary.com/)
01:14:52	112752/112752	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:51%20GMT	https://theordinary.com/product/rdn-retinol-05pct-in-squalane-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-retinol-05pct-in-squalane-30mld2f3.html	(from https://theordinary.com/)
01:14:53	112699/112699	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:52%20GMT	https://theordinary.com/product/rdn-retinol-1pct-in-squalane-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-retinol-1pct-in-squalane-30mld2f3.html	(from https://theordinary.com/)
01:14:54	114618/114618	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:53%20GMT	https://theordinary.com/product/rdn-vitamin-c-suspension-30pct-in-silicone-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-vitamin-c-suspension-30pct-in-silicone-30mld2f3.html	(from https://theordinary.com/)
01:14:55	114488/114488	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:54%20GMT	https://theordinary.com/product/rdn-vitamin-c-suspension-23pct-ha-spheres-2pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-vitamin-c-suspension-23pct-ha-spheres-2pct-30mld2f3.html	(from https://theordinary.com/)
01:14:56	99466/99466	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:55%20GMT	https://theordinary.com/product/rdn-100pct-l-ascorbic-acid-powder-20g?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-100pct-l-ascorbic-acid-powder-20gd2f3.html	(from https://theordinary.com/)
01:14:57	109540/109540	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:56%20GMT	https://theordinary.com/product/rdn-ascorbyl-glucoside-solution-12pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-ascorbyl-glucoside-solution-12pct-30mld2f3.html	(from https://theordinary.com/)
01:14:58	109298/109298	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:57%20GMT	https://theordinary.com/product/rdn-ascorbyl-tetraisopalmitate-solution-20pct-in-vitamin-f-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-ascorbyl-tetraisopalmitate-solution-20pct-in-vitamin-f-30mld2f3.html	(from https://theordinary.com/)
01:14:59	110550/110550	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Apr%202018%2005:14:58%20GMT	https://theordinary.com/product/rdn-magnesium-ascorbyl-phosphate-10pct-30ml?redir=1	C:/Users/shahin/Desktop/428/DECIEM/theordinary.com/product/rdn-magnesium-ascorbyl-phosphate-10pct-30mld2f3.html	(from https://theordinary.com/)
